更新时间,#genre#
20250810-18-24-57,url


RespoTime,whitelist,#genre#
16.35ms,北京青年,http://player.cntv.cn/standard/live_HLSDRM20180919.swf?v=180.171.5.8.9.6.3.9&ChannelID=btv8&videoTVChannel=btv8&P2PChannelID=pd://cctv_p2p_hdbtv8&tai=btv8&VideoName=btv8&channelID=btv8
19.24ms,半·新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
24.86ms,北京生活,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=btv7&videoTVChannel=btv7&P2PChannelID=pd://cctv_p2p_hdbtv7&tai=btv7&VideoName=btv7&channelID=btv7
34.65ms,CNA新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
44.93ms,北京财经,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=btv5&videoTVChannel=btv5&P2PChannelID=pd://cctv_p2p_hdbtv5&tai=btv5&VideoName=btv5&channelID=btv5
50.93ms,国家地理,http://s1.an94tv.cfd/aktv/lovenaturehd/AKTV.m3u8
51.62ms,北京科教,http://player.cntv.cn/standard/live_HLSDRM20180606.swf?ChannelID=btv3&P2PChannelID=pd://cctv_p2p_hdbtv3
61.10ms,CNA,http://s1.an94tv.cfd/aktv3/cna/AKTV.m3u8
66.32ms,半岛新闻「阿拉伯」,http://live-hls-web-aja.getaj.net/AJA/02.m3u8?zshijd
92.66ms,广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4
95.01ms,莲花卫视,http://php.jdshipin.com:8880/amlh.php
99.60ms,深圳卫视,http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8
99.61ms,台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
104.32ms,TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
